time_real,4.06.1+multicore+bench,
almabench,1686259263.,31327827.9821
bdd,206029309.8,964020.888926
cpdf-merge,6025293740.,18551307.7158
cpdf-reformat,7897436672.,9235949.82964
cpdf-squeeze,12126860561.,66056547.2898
cpdf-transform,2160087675.,1319770.96646
jsontrip-sample,18148638.8688,351901.8952
kb,465822438.667,1291249.41964
kb-no-exc,318507389.615,2706891.0196
lexifi-g2pp,9838721177.5,4951957.177
menhir-fancy,18338271.9361,688198.246697
menhir-sql,3523103827.33,26666334.776
menhir-standard,14384942.2903,151462.509987
minilight,14872339706.7,32994616.2559
numal-durand-kerner-aberth,82868928.7959,231274.78779
numal-fft,2326196640.67,6496327.4351
numal-k-means,228078298.889,1082599.08911
numal-levinson-durbin,1486536658.,2747752.5672
numal-lu-decomposition,873724428.8,10218134.153
numal-naive-multilayer,2544755154.,6860951.97799
numal-qr-decomposition,1163605247.75,6021593.25324
numal-rnd_access,5465102175.,24363537.3861
numal-simple_access,2525066505.25,31102932.5164
sequence,808945010.4,653347.369934
sequence-cps,1147754188.,11157260.2976
setrip,993535470.4,9823556.47905
setrip-smallbuf,978525250.2,3086019.75541

