time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1658510059.,904735.831289,1685576088.6,33668689.0407,1668586097.67,772887.005315,1684412070.25,21757240.5594,1611065374.,19014356.7273,1599775216.33,1866126.23155,1599722076.67,2846468.08134,1608684725.75,13744745.212,1600940153.67,2592932.06336,1595825570.,1305104.00983
bdd,205312927.55,1421815.73798,205913458.95,1260070.59201,206536502.15,958739.234452,204181591.7,1142421.72824,190751397.048,1334426.03388,191658263.952,1160638.17385,190351767.273,851822.035352,209612053.5,1105857.2185,193009926.714,3136427.552,211267191.684,1834161.75943
cpdf-merge,5352168755.67,18092752.3687,5377113190.,nan,5368945130.,nan,5418368867.,nan,3929011655.33,4372643.14454,4145716775.33,7912139.64806,4061673532.67,30705385.4388,4117577003.5,3722469.60435,4258986458.33,18733375.9482,4111747043.67,16926030.3888
cpdf-reformat,7459972884.5,54647.3333704,7566063717.,nan,7576444011.,nan,7571269896.,nan,6520455400.,2694322.90948,6590262993.5,67107246.8763,6555256344.5,1185479.3679,6536469009.5,3946756.80428,6603985692.33,28358988.418,6595000092.67,11640023.441
cpdf-squeeze,11378062930.,19341307.8838,11574092279.7,30910892.1924,11556740672.,2792194.97328,11534333329.3,16958554.0964,9439977646.,8301266.73393,9388752146.67,14846181.6102,9344418880.,27584628.7668,9420980742.,9135945.47794,9197497084.33,22594000.3083,9368441043.,1280914.03462
cpdf-transform,2111190904.67,3838958.404,2121850015.25,19469103.067,2109288356.,5711669.69621,2125728571.,12053163.8519,2177254657.33,12220670.8443,2132921273.,121476.702367,2144474233.,20772362.3874,2142124237.75,15867089.5234,2143973209.,8617620.52412,2164044692.5,1799942.43283
jsontrip-sample,17881076.1786,265862.123041,18081462.1982,533761.880555,17867316.6295,283657.090626,17823710.8533,979534.429863,15351101.6322,319137.909523,14545951.7138,325406.450646,,,,,,,,
kb,451027079.111,3930208.05601,459987651.222,744112.487219,459553907.222,798524.174801,457328602.222,571385.22311,423950441.4,4218710.92182,432336370.3,6305092.36382,437929656.9,3716788.47038,418824749.,2047687.9116,435870575.9,847399.112399,428847588.4,3643830.3641
kb-no-exc,297322365.143,6841701.78541,305639538.,nan,304577349.,nan,295418391.,nan,284078425.6,1704620.09008,297363665.429,10930472.3115,293681978.929,10292005.8923,291562825.286,1611786.88607,293021960.429,2381616.34568,294209151.357,6947030.5014
lexifi-g2pp,9888773971.,194556829.36,9824465160.5,4396140.13429,9834937481.,8418056.6572,9871543522.25,75900032.6657,9779658739.4,163597841.272,9698530566.,70749217.9999,9638605945.,20604146.8786,9552985590.5,9092691.04903,9681742185.,44416271.8491,9579414677.5,1059762.85327
menhir-fancy,15409241.7577,1959420.5265,15678594.3711,1582552.17826,15048530.9699,168718.000259,15238701.2928,1327596.86492,10343391.5736,903994.924595,10490215.8508,345792.364165,,,,,,,,
menhir-list-errors,192005388484.,24895171.3777,191412635914.,nan,,,198465038903.,nan,,,120950238292.,131987730.118,,,,,,,,
menhir-sql,3323264682.5,27775540.0576,3286810524.,nan,3305068893.,nan,3309247793.,nan,3086766895.67,25653486.0777,3125908351.,18747432.8593,,,,,,,,
menhir-standard,11552424.4265,847672.000004,11558519.4726,910126.023962,11477118.9169,92759.9051938,11919873.7726,4709021.52453,7799253.57505,80079.2361016,8414127.39076,1214027.67281,,,,,,,,
menhir-sysver,52920301431.,52637307.3916,52569296754.,nan,,,52786076284.,nan,,,46053934190.7,195793721.028,,,,,,,,
minilight,14458233202.3,64036123.971,14602049264.3,20218696.8629,14645574524.,1628434.39016,14467918010.7,16514830.4918,12543328391.,12566489.5832,12470061162.7,16941640.5215,12480703287.,47527797.8581,14731458606.7,61356209.571,12537269459.,7384364.19919,14797532513.7,34635109.947
numal-durand-kerner-aberth,81936072.898,220748.737882,82124564.7755,227797.218443,82225682.1429,246940.999261,82149669.3061,222466.469705,77618887.6538,291763.919717,77050929.2692,242204.529184,76994724.8077,333205.569959,76979977.5769,221671.028827,77247218.7692,278098.875466,76924315.8269,287368.160815
numal-fft,2306685824.,9577611.83173,2350662597.33,14556912.6234,2356788833.67,15224874.5473,2318362855.33,16402291.8954,2215484507.,35061945.0729,2221644014.,19004287.7569,2258810613.,571134.389805,2238386449.75,22690259.0684,2197716357.33,7917875.63808,2196907129.,4540058.61826
