time_real,4.06.1+multicore+scheduling+bench,
numal-lu-decomposition,0.0675926672621,0.
numal-naive-multilayer,0.000580463485323,0.
numal-qr-decomposition,0.00157661793678,0.
numal-rnd_access,7.71309036015e-05,5.32116231537e-06
numal-simple_access,0.830114870413,0.
sequence,4.96351218282e-05,0.
sequence-cps,0.000134014851672,0.
setrip,2.92128595008e-05,0.
setrip-smallbuf,2.94469109691e-05,0.

top_heap_words,4.06.1+multicore+scheduling+bench,
almabench,32768.,0.
bdd,573081.,0.
cpdf-merge,41250573.,nan
cpdf-reformat,30748513.,nan
cpdf-squeeze,39037390.,0.
cpdf-transform,15729863.,0.
jsontrip-sample,94607.,0.
kb,446464.,0.
kb-no-exc,507904.,nan
lexifi-g2pp,152547.,0.
menhir-fancy,357664.,0.
menhir-sql,48192139.,nan
menhir-standard,323978.,0.
minilight,1106522.,0.
numal-durand-kerner-aberth,49152.,0.
numal-fft,55197714.,0.
numal-k-means,564323.,0.
numal-levinson-durbin,18155498.,0.
numal-lu-decomposition,4680084.,0.
numal-naive-multilayer,74082.,0.
numal-qr-decomposition,1263179.,0.
numal-rnd_access,200032771.,0.
numal-simple_access,209263875.,0.
sequence,36864.,0.
sequence-cps,32768.,0.
setrip,65539.,0.
setrip-smallbuf,65539.,0.

minor_collections,4.06.1+multicore+scheduling+bench,
almabench,1.,0.
bdd,291.,0.
cpdf-merge,714.,nan
cpdf-reformat,1694.,nan
cpdf-squeeze,1476.,0.
cpdf-transform,214.,0.
jsontrip-sample,17.,0.
kb,341.,0.
kb-no-exc,143.,nan
lexifi-g2pp,6023.,0.
menhir-fancy,5.,0.
menhir-sql,3867.,nan
menhir-standard,4.,0.
minilight,36867.,0.
numal-durand-kerner-aberth,290.,0.
numal-fft,183.,0.
numal-k-means,2.,0.
numal-levinson-durbin,3676.,0.
numal-lu-decomposition,20.,0.
numal-naive-multilayer,8253.,0.
numal-qr-decomposition,6273.,0.
numal-rnd_access,1.,0.
numal-simple_access,866.,0.
sequence,2853.,0.
sequence-cps,5725.,0.
setrip,639.,0.
setrip-smallbuf,645.,0.

major_collections,4.06.1+multicore+scheduling+bench,
almabench,1.,0.
bdd,5.,0.
cpdf-merge,30.,nan
cpdf-reformat,29.,nan
cpdf-squeeze,36.,0.
cpdf-transform,15.,0.
jsontrip-sample,2.,0.
kb,67.,0.
kb-no-exc,56.,nan
lexifi-g2pp,11.,0.
menhir-fancy,1.,0.
menhir-sql,15.,nan
menhir-standard,1.,0.
minilight,38.,0.
numal-durand-kerner-aberth,47.,0.
numal-fft,10.,0.
numal-k-means,2.,0.
numal-levinson-durbin,72.,0.
numal-lu-decomposition,3.,0.
numal-naive-multilayer,129.,0.
numal-qr-decomposition,9.,0.
numal-rnd_access,1.,0.
numal-simple_access,5.,0.
sequence,156.,0.
sequence-cps,961.,0.
setrip,13.,0.
setrip-smallbuf,13.,0.

heap_words,4.06.1+multicore+scheduling+bench,
almabench,32768.,0.
bdd,573081.,0.
cpdf-merge,37871373.,nan
cpdf-reformat,30609141.,nan
cpdf-squeeze,28036569.,0.
cpdf-transform,10593479.,0.
jsontrip-sample,94607.,0.
kb,225280.,0.
kb-no-exc,270336.,nan
lexifi-g2pp,152547.,0.
menhir-fancy,357664.,0.
menhir-sql,48192139.,nan
menhir-standard,323978.,0.
minilight,1094234.,0.
numal-durand-kerner-aberth,49152.,0.
numal-fft,50323465.,0.
numal-k-means,564323.,0.
numal-levinson-durbin,18155498.,0.
numal-lu-decomposition,4680084.,0.
numal-naive-multilayer,74082.,0.
numal-qr-decomposition,1263179.,0.
numal-rnd_access,200032771.,0.
numal-simple_access,209263875.,0.
sequence,36864.,0.
sequence-cps,32768.,0.
setrip,65539.,0.
setrip-smallbuf,65539.,0.

mean_space_overhead,4.06.1+multicore+scheduling+bench,
almabench,0.,0.
bdd,29.485306,3.64500732561e-15
cpdf-squeeze,29.218629,4.35116785763e-15
cpdf-transform,32.84631,0.
jsontrip-sample,334.791105,1.880034021e-12
kb,66.924631,1.50728876034e-14
lexifi-g2pp,91.8504,0.
menhir-fancy,0.,0.
menhir-standard,0.,0.
minilight,52.208121,0.
numal-durand-kerner-aberth,656.331542,0.
numal-fft,38.656878,0.
numal-k-means,11.47746,5.38928791564e-15
numal-levinson-durbin,95.500088,0.
numal-lu-decomposition,26.466785,3.9720546452e-15
numal-naive-multilayer,197.103607,0.
numal-qr-decomposition,57.744404,0.
numal-rnd_access,0.,0.
numal-simple_access,4629.648832,0.
sequence,7392.682927,0.
sequence-cps,7837.636631,0.
setrip,624.297617,0.
setrip-smallbuf,623.105798,0.

