time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1660387304.67,3215463.23481,1685576088.6,33668689.0407,1668586097.67,772887.005315,1670425502.33,1570138.23017,1611065374.,19014356.7273,1619247358.5,45883602.0676,1598129148.,1656384.36778,1617149074.4,33015083.8259,1610711828.,10518384.1281,1613767420.8,38123577.8775
bdd,205173069.95,826941.24721,205913458.95,1260070.59201,206536502.15,958739.234452,204036717.05,809150.390129,190751397.048,1334426.03388,190600666.762,776028.803674,191307669.857,1324620.84624,209831371.9,1063398.47682,192839803.905,801208.437032,211807983.684,3396375.57894
cpdf-merge,5362411809.67,4993837.04213,5377113190.,nan,5368945130.,nan,5388918631.,nan,3929011655.33,4372643.14454,4114091784.,16956023.666,4060624764.,4026164.1887,4141606713.,62454590.5063,4248435949.,18074965.6246,4110324463.67,11694455.4397
cpdf-reformat,7471582509.33,27207833.8608,7566063717.,nan,7576444011.,nan,7545711494.,nan,6520455400.,2694322.90948,6554614011.,31769522.094,6554611676.,7587138.27585,6581094049.33,27683519.0031,6583052930.67,7399420.40052,6592206122.5,915008.195671
cpdf-squeeze,11382388003.3,38363519.5604,11574092279.7,30910892.1924,11556740672.,2792194.97328,11564537781.,23760382.2555,9439977646.,8301266.73393,9393393875.,30927554.1677,9355093453.67,20623326.7454,9431923485.33,15696756.7376,9246412379.33,76947944.3161,9421469429.67,28410232.932
cpdf-transform,2102575042.,5576449.43104,2121850015.25,19469103.067,2109288356.,5711669.69621,2113619714.67,6048087.8403,2177254657.33,12220670.8443,2134129994.5,675160.403919,2130775527.,1416156.69181,2138347967.25,16278359.0703,2153772360.75,18504433.743,2142394871.,6935859.76356
jsontrip-sample,17886809.5,293460.487174,18081462.1982,533761.880555,17867316.6295,283657.090626,17763046.8451,593116.101749,15351101.6322,319137.909523,14495094.2935,299982.937221,,,,,,,,
kb,450517218.333,1923894.64132,459987651.222,744112.487219,459553907.222,798524.174801,457543156.222,837434.191588,423950441.4,4218710.92182,429723607.5,3904464.34588,441329872.3,6088249.64692,420651998.3,4336281.70687,436943591.,2275046.61206,426989559.5,1041077.6656
kb-no-exc,296100187.214,2483945.03952,305639538.,nan,304577349.,nan,294668949.,nan,284078425.6,1704620.09008,293327290.214,2478396.19972,290574577.071,2478266.6006,291509627.429,2029223.28777,292991074.5,2919883.82708,296251075.714,8261410.13988
lexifi-g2pp,9830201503.,85287833.5022,9824465160.5,4396140.13429,9834937481.,8418056.6572,9847186935.,846355.905392,9779658739.4,163597841.272,9668472094.5,2168674.57759,9726547751.17,255677248.397,9579645590.67,43464001.3331,9656037772.33,11146655.2235,9572308639.,5419740.13256
menhir-fancy,15038451.7143,172630.500148,15678594.3711,1582552.17826,15048530.9699,168718.000259,15197267.1591,151971.806191,10343391.5736,903994.924595,10438508.4271,214123.003427,,,,,,,,
menhir-list-errors,192470972469.,998847628.561,191412635914.,nan,,,196642301029.,nan,,,121262590403.,207241761.712,,,,,,,,
menhir-sql,3323397266.67,20586683.4866,3286810524.,nan,3305068893.,nan,3307047451.,nan,3086766895.67,25653486.0777,3132884027.25,33609305.2974,,,,,,,,
menhir-standard,11521023.8764,203781.432731,11558519.4726,910126.023962,11477118.9169,92759.9051938,11654122.8081,886545.751108,7799253.57505,80079.2361016,8161538.70061,1378152.46697,,,,,,,,
menhir-sysver,52951620348.5,46948478.4806,52569296754.,nan,,,52941310621.,nan,,,45933323612.,68003148.9639,,,,,,,,
minilight,14517330126.5,14795443.5997,14602049264.3,20218696.8629,14645574524.,1628434.39016,14511201202.5,6238743.02633,12543328391.,12566489.5832,12449269090.5,7040966.9833,12470077783.,15800659.9611,14747173715.,12461211.283,12535393032.3,28973986.6454,14799423731.3,23856216.0934
numal-durand-kerner-aberth,81924146.3878,253154.692013,82124564.7755,227797.218443,82225682.1429,246940.999261,82029191.1224,208940.247284,77618887.6538,291763.919717,76936211.8077,267951.216571,77090651.6923,233987.825164,76920205.8302,230133.997441,77178628.8654,232882.316738,76942696.5577,221556.199406
numal-fft,2330659106.,16774553.2473,2350662597.33,14556912.6234,2356788833.67,15224874.5473,2307474699.,10822379.0086,2215484507.,35061945.0729,2214547039.,13759594.4812,2241423702.33,12156563.9906,2199774833.67,15756622.707,2180954913.5,23606299.0627,2195439376.,16358116.5563
numal-k-means,89405542.0889,880732.737404,90022337.8222,918365.377138,89973741.3333,847996.406454,90037639.4222,830894.5284,77849480.0577,759541.19974,77459569.5577,833854.854428,81140005.62,1219248.09819,75382856.0926,739001.387911,81373528.68,1134132.0732,75600930.3774,793324.21504
numal-levinson-durbin,1518776899.33,737177.952906,1519471460.33,1757874.7322,1520001585.67,1257978.5418,1530026977.,9701217.87074,1417704864.67,5409860.10735,1407704779.,1056562.77845,1408525386.67,1300555.66132,1374986269.33,815657.350182,1407846859.33,325989.193604,1374804806.67,3626770.37726
numal-lu-decomposition,856479726.4,3675090.74915,859548883.4,5566606.65435,852970779.2,5823612.42969,854987043.8,5721435.7604,774607161.333,2095929.29242,766854124.5,3395422.52547,786951060.167,10737954.3268,631460043.429,4863078.75558,780846995.,3507211.68655,620000743.714,5419543.3433
numal-naive-multilayer,2486493334.33,7765217.9668,2493526096.5,1032570.3549,2508613879.67,12382475.5146,2518717094.,632432.062453,2298667784.5,2148581.43129,2364909384.5,382603.458485,2376518445.,188592.44961,2086392110.5,1919900.26983,2290590604.33,14784038.1904,2067801123.67,10636142.181
numal-qr-decomposition,1143371688.,1027587.57051,1146177917.,247155.28157,1146520379.,2221670.25824,1144568900.75,299976.982456,1170013433.25,517757.332013,1174652501.75,3352025.97043,1172882595.5,394669.690949,1167848704.75,965029.444191,1173875516.,939426.738017,1168619109.,367840.093283
numal-rnd_access,5361983172.,2491489.3293,5312987329.67,5627485.16982,5316989421.,6941025.06547,5336863066.5,234770.057956,4049523087.57,119560663.885,3993934870.,3093158.00413,4090612073.5,384628.612306,4161612576.5,2401366.44871,4134079775.67,17246961.645,4090843140.,4263538.52093
numal-simple_access,2175292902.33,15742977.5563,2210174710.33,2116423.36797,2241531986.25,23680139.7614,2169636638.67,9432025.07966,2676759265.33,5455631.25976,2933065264.5,2027298.47619,3001709926.33,3899681.82184,2999794100.67,3562054.04141,3027242788.,2048351.16638,3003191986.5,2300615.0461
patdiff,,,,,,,,,221553256.842,4768329.84697,222230824.947,5750071.46956,,,,,,,,
sequence,830678746.4,1132607.21503,821434941.6,1040840.54303,820129881.6,1327453.19073,819008037.,675212.982924,847796697.8,1536321.5233,845082688.4,410196.398756,814927087.6,4104333.51001,637059000.,5155415.1789,862890198.,979643.757968,637528028.286,2027074.03295
sequence-cps,1101307335.,15689490.2959,1138576808.5,5829992.53941,1130815763.75,4597735.35614,1130354039.25,11704287.9683,883181133.375,32134771.4337,877295286.,24391091.7917,868898954.6,18304138.4702,878029727.8,3990524.76004,865257197.2,6162062.52031,897255974.2,14414598.0659
setrip,974370222.2,3661770.9532,967206597.2,5888481.79429,970996682.4,8994283.61158,979054407.4,14008627.3387,896590720.2,7494383.79119,887116434.2,2190724.20707,,,,,,,,
