time_real,4.06.1+multicore+bench,
almabench,1706368618.33,7748378.2713
bdd,210778791.895,1281957.61434
cpdf-merge,7573666214.67,31378108.04
cpdf-reformat,8702670575.67,21484389.9678
cpdf-squeeze,13579442637.3,25565834.7636
cpdf-transform,2326140416.33,6817714.69504
jsontrip-sample,18975531.1659,373809.3144
kb,519235767.25,1379650.21677
kb-no-exc,348926745.333,2559375.60903
lexifi-g2pp,9942005645.33,17262546.474
menhir-fancy,18852599.5446,1814011.80955
menhir-sql,4017200175.67,13710599.3246
menhir-standard,14428250.6115,85025.8552561
minilight,15289339174.,1970474.66814
numal-durand-kerner-aberth,86217778.1277,274825.602722
numal-fft,3532376912.,18318912.9106
numal-k-means,237449424.529,5223854.53782
numal-levinson-durbin,1561571983.,1604344.75064
numal-lu-decomposition,921734093.6,18911058.0099
numal-naive-multilayer,2735100345.33,4802959.95899
numal-qr-decomposition,1307454184.,1390500.35656
numal-rnd_access,5520043100.33,15500674.6905
numal-simple_access,8079515885.,14779456.2782
sequence,833877397.4,278736.559334
sequence-cps,1195084901.25,1910308.14542
setrip,995639613.8,8364701.51969
setrip-smallbuf,988544910.6,11311692.6256

