time_real,4.06.1+trunk+bench,
almabench,1598837506.67,633555.731993
bdd,191535824.286,1138149.28808
cpdf-merge,4140205590.25,32051480.4078
cpdf-reformat,6535541648.5,4947959.19526
cpdf-squeeze,9391100259.33,37840182.1473
cpdf-transform,2134533001.,4048591.80809
frama-c-deflate,26271115031.,94414540.0103
frama-c-idct,179053624.,nan
jsontrip-sample,14489405.6029,352695.504667
kb,434165900.8,5026758.24101
kb-no-exc,293904669.571,4034442.20818
lexifi-g2pp,9668856443.,10587202.9504
menhir-fancy,10965889.737,1215854.86117
menhir-sql,3137563635.,18548559.9232
menhir-standard,7769796.49709,69460.0487307
minilight,12479020546.7,13066741.5313
numal-durand-kerner-aberth,77025771.1538,368248.275746
numal-fft,2209207719.33,16636645.6595
numal-k-means,77893079.7308,3720317.61944
numal-levinson-durbin,1414837055.67,7132134.04131
numal-lu-decomposition,778534460.,16558888.5449
numal-naive-multilayer,2367070489.5,925979.664488
numal-qr-decomposition,1174362990.,935507.691785
numal-rnd_access,4017000929.5,1255492.83873
numal-simple_access,2979540989.33,20231420.4639
patdiff,219615947.842,5705973.508
sauvola-contrast,1584577.,nan
sequence,845154097.6,1342110.3796
sequence-cps,886608352.333,26405906.6969
setrip,905245878.8,21398898.4683
setrip-smallbuf,894643273.4,12034771.608

