time_real,4.06.1+multicore+bench,
almabench,1689560057.4,37373468.1545
bdd,205463631.55,965904.602079
cpdf-merge,6037016652.,15269924.9076
cpdf-reformat,7897365985.67,14343871.8049
cpdf-squeeze,12101210699.3,19061299.0423
cpdf-transform,2163541663.,6791732.57496
jsontrip-sample,18413034.3991,474444.396134
kb,467154830.778,4314528.08356
kb-no-exc,319105523.846,2413591.81958
lexifi-g2pp,9836726541.,9484678.2459
menhir-fancy,18810997.507,1826805.40356
menhir-sql,3520218159.,26582172.5885
menhir-standard,14361014.5771,99300.1332679
minilight,14915701878.2,129567084.464
numal-durand-kerner-aberth,82744390.9184,338318.696294
numal-fft,2333639702.33,5962044.77215
numal-k-means,228618608.333,2109930.47579
numal-levinson-durbin,1485271824.,1545715.65142
numal-lu-decomposition,874256601.,16714616.165
numal-naive-multilayer,2547377254.,2763407.242
numal-qr-decomposition,1160787018.25,1848897.90525
numal-rnd_access,5453648685.67,8465075.08729
numal-simple_access,2598065379.75,27353262.8798
sequence,808693716.8,908768.542388
sequence-cps,1146374862.,1781694.95215
setrip,981201936.2,7428279.47624
setrip-smallbuf,979146693.4,13180060.565

