time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1725382891.33,13578711.0459
bdd,212832513.684,1261135.9937
cpdf-merge,7599977402.,3314588.49266
cpdf-reformat,8766116152.67,22334930.6745
cpdf-squeeze,13658111950.3,57419779.2174
cpdf-transform,2311594972.5,2180610.54006
jsontrip-sample,21593565.0484,508367.160607
kb,516199623.875,1607013.18365
kb-no-exc,345646260.333,1804760.43073
lexifi-g2pp,9979013153.75,87535179.382
menhir-fancy,19342215.5942,1946192.59731
menhir-sql,4112512680.,4009879.51953
menhir-standard,14977700.5187,311529.53456
minilight,16443573293.7,58058665.4228
numal-durand-kerner-aberth,87265586.4565,245452.024397
numal-fft,3702090932.5,250460.75743
numal-k-means,232073599.444,1920677.74823
numal-levinson-durbin,1601685225.67,1660619.92372
numal-lu-decomposition,924182468.8,1789295.04573
numal-naive-multilayer,2756502068.,1069924.68483
numal-qr-decomposition,1308464818.25,508824.477662
numal-rnd_access,6152266801.5,413157.5425
numal-simple_access,8135991504.,30683490.138
sequence,836482053.2,794225.009766
sequence-cps,1609087877.67,3268767.38844
setrip,1013710835.75,9482570.16466
setrip-smallbuf,1007850123.2,19857984.9268

