time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1727376288.6,34694472.668
bdd,211286887.316,1126612.32538
cpdf-merge,8017357831.,29222406.0685
cpdf-reformat,9043817838.,26490797.8837
cpdf-squeeze,14070584958.7,41729787.9534
cpdf-transform,2504389052.5,842591.975996
jsontrip-sample,19106686.1476,267145.711339
kb,542855072.375,1002962.78165
kb-no-exc,367129121.909,3256074.46953
lexifi-g2pp,9959137903.,36988227.1974
menhir-fancy,18902883.5613,1363412.36497
menhir-sql,4246466164.33,28418902.514
menhir-standard,14529809.413,163283.506643
minilight,15315331079.,4715010.64437
numal-durand-kerner-aberth,86940058.1277,232648.436519
numal-fft,4522962177.5,4573573.02468
numal-k-means,229995821.333,7042892.04747
numal-levinson-durbin,1600813909.,2686314.97974
numal-lu-decomposition,926891215.,6803812.68735
numal-naive-multilayer,2752994678.33,5789990.04983
numal-qr-decomposition,1309258975.,1788252.95351
numal-rnd_access,5498689820.67,4703331.94007
numal-simple_access,8564519887.5,5080702.93707
sequence,837189883.2,1510864.84781
sequence-cps,1222479731.67,31847553.8223
setrip,987114751.6,4200148.45215
setrip-smallbuf,983805049.2,9248545.08354

