time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1709489861.67,1682462.37851
bdd,212978462.526,2299682.03948
cpdf-merge,7688008942.,32047583.0788
cpdf-reformat,8831234583.,7739966.78524
cpdf-squeeze,13773895472.,10651633.1061
cpdf-transform,2352594065.67,8352617.45414
jsontrip-sample,19260775.4279,237074.321692
kb,523366893.625,841269.235513
kb-no-exc,356785217.417,3932095.29055
lexifi-g2pp,10031340915.3,79320070.3981
menhir-fancy,18896137.2642,1220717.73854
menhir-sql,4097344081.5,2508682.63068
menhir-standard,14996036.8914,203549.709873
minilight,15163452544.3,56951718.5686
numal-durand-kerner-aberth,87818912.4565,230857.875526
numal-fft,3781884169.,16837082.9459
numal-k-means,236533029.824,3758268.38666
numal-levinson-durbin,1609221913.67,1742826.98189
numal-lu-decomposition,936722873.6,2841524.66025
numal-naive-multilayer,2770245828.5,2411198.0614
numal-qr-decomposition,1309046238.75,589562.820493
numal-rnd_access,5530270465.,5231149.95756
numal-simple_access,8112536550.67,18363537.2113
sequence,845971053.,542912.418467
sequence-cps,1240815516.75,3705254.41031
setrip,999155967.6,10723845.2794
setrip-smallbuf,994178898.8,10987762.4152

