time_real,4.06.1+multicore+bench,
almabench,1678738490.33,13201642.9644
bdd,205718950.35,1724658.82296
cpdf-merge,5984965218.,nan
cpdf-reformat,7898262938.,nan
cpdf-squeeze,12052964742.7,23660201.0236
cpdf-transform,2166027616.33,16359810.1494
jsontrip-sample,17710425.0885,315958.9782
kb,466330342.444,4766956.87651
kb-no-exc,316978043.077,7350042.45788
lexifi-g2pp,9822525831.33,22665681.1768
menhir-fancy,15544279.6899,1718380.32594
menhir-sql,3453012048.,nan
menhir-standard,11403046.0313,67956.8378649
minilight,14550087570.,64368085.0608
numal-durand-kerner-aberth,81975837.898,236743.238509
numal-fft,2364562857.,10845720.0516
numal-k-means,89845897.5778,844483.053216
numal-levinson-durbin,1482440427.33,2026828.31551
numal-lu-decomposition,855649522.8,1576366.25706
numal-naive-multilayer,2540278831.5,1991268.55726
numal-qr-decomposition,1144895184.25,873952.733937
numal-rnd_access,5354630483.33,7570496.34382
numal-simple_access,2688533932.5,32832258.4935
sequence,895168886.6,263268.523258
sequence-cps,1143621984.,6601932.02534
setrip,966396964.,11694154.9999
setrip-smallbuf,964931490.,9856254.11281

