time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1656975888.,1745487.74577,1685576088.6,33668689.0407,1668586097.67,772887.005315,1669178507.67,2276102.82915,1611065374.,19014356.7273,1598803602.67,389371.860979,1611239875.75,15748960.6304,1603316194.,1733479.78728,1620523105.8,35442564.5021,1595496491.,649041.712028
bdd,205120229.75,1104363.04728,205913458.95,1260070.59201,206536502.15,958739.234452,204960877.75,1068199.98608,190751397.048,1334426.03388,191457399.333,1076179.45646,192190867.333,5611151.62376,209886871.5,1159349.15045,193125061.524,1264962.48376,211345247.947,2630116.32083
cpdf-merge,5341839324.,16722971.8255,5377113190.,nan,5368945130.,nan,5414433580.,nan,3929011655.33,4372643.14454,4129328441.,12550842.9534,4055272398.33,12292302.2901,4100352104.5,3906594.55332,4248658316.,11774691.1533,4122926338.67,17814174.9768
cpdf-reformat,7472539075.,9373113.26993,7566063717.,nan,7576444011.,nan,7558088910.,nan,6520455400.,2694322.90948,6542885939.5,6331364.11517,6536221235.,5686519.07222,6558223544.,53063571.0808,6612197824.33,23630160.7204,6636441004.33,41312215.3617
cpdf-squeeze,11392561286.5,11555248.3973,11574092279.7,30910892.1924,11556740672.,2792194.97328,11541462488.,35156510.2108,9439977646.,8301266.73393,9371624193.33,17933746.5335,9340128444.,8612973.54521,9416075390.33,39989159.6858,9192290707.67,16140402.7768,9392790157.,47576684.9797
cpdf-transform,2127770956.33,16700016.2843,2121850015.25,19469103.067,2109288356.,5711669.69621,2118392778.67,13384376.427,2177254657.33,12220670.8443,2160648614.5,28838588.6945,2140054160.5,717981.376374,2154716857.5,2033697.79256,2156539233.67,15553781.288,2146852017.,6717936.91541
jsontrip-sample,17872283.6607,293975.854072,18081462.1982,533761.880555,17867316.6295,283657.090626,17777676.8717,622200.304074,15351101.6322,319137.909523,14530490.1667,367327.076851,,,,,,,,
kb,448990258.556,1059679.07339,459987651.222,744112.487219,459553907.222,798524.174801,457756926.889,943835.051756,423950441.4,4218710.92182,429862521.1,1977728.15842,439483550.6,4040153.87902,420851087.9,5207826.44401,439889011.,6184517.2754,428049271.3,3394970.12292
kb-no-exc,297612751.571,7315156.19556,305639538.,nan,304577349.,nan,295116448.,nan,284078425.6,1704620.09008,293535650.786,3205260.60011,290408333.,2218843.43074,291273790.429,2027385.23056,292828422.286,2557915.33748,292875449.286,2355552.06291
lexifi-g2pp,9783633442.,4090783.84901,9824465160.5,4396140.13429,9834937481.,8418056.6572,9827812627.5,3354645.3847,9779658739.4,163597841.272,9665318323.,9172927.16259,9618109158.5,4615904.67924,9545322475.,324509.686663,9737775800.,77414677.3916,9595807535.33,43343127.9252
menhir-fancy,15849447.8379,1912191.18067,15678594.3711,1582552.17826,15048530.9699,168718.000259,15534226.8527,1694016.47528,10343391.5736,903994.924595,10470357.0992,224186.06358,,,,,,,,
menhir-list-errors,192686615780.,464591982.831,191412635914.,nan,,,197185825619.,nan,,,121222056610.,407462619.32,,,,,,,,
menhir-sql,3330814361.33,22294064.9198,3286810524.,nan,3305068893.,nan,3305073843.,nan,3086766895.67,25653486.0777,3121666326.,25705137.3451,,,,,,,,
menhir-standard,11683199.1108,648425.10806,11558519.4726,910126.023962,11477118.9169,92759.9051938,12132087.2512,4767168.73292,7799253.57505,80079.2361016,8178049.60612,678380.586563,,,,,,,,
menhir-sysver,52891982655.,55983260.3126,52569296754.,nan,,,52831261686.,nan,,,45964552963.3,49718105.9268,,,,,,,,
minilight,14439381354.7,52284399.7088,14602049264.3,20218696.8629,14645574524.,1628434.39016,14506171831.,97805327.5169,12543328391.,12566489.5832,12478087482.3,19481328.5328,12438425013.,3545747.35628,14696851408.7,19961507.3402,12545352017.5,13152083.5996,14825275413.,7450488.58273
numal-durand-kerner-aberth,82003444.2653,251420.124948,82124564.7755,227797.218443,82225682.1429,246940.999261,82128447.6531,232394.02353,77618887.6538,291763.919717,76860363.3019,307818.476692,77046387.75,236770.125603,76794892.8113,282332.006922,77153312.1731,214712.373783,77241589.9423,1823752.96877
numal-fft,2310928224.33,8284692.12391,2350662597.33,14556912.6234,2356788833.67,15224874.5473,2318846937.,1777554.72503,2215484507.,35061945.0729,2220552542.67,8845816.48936,2260103938.,17299295.9688,2243016284.25,30959882.7952,2178796647.,18881559.7427,2206712584.33,13625213.5642
numal-k-means,89591877.1556,843893.907174,90022337.8222,918365.377138,89973741.3333,847996.406454,89981841.3778,945148.612811,77849480.0577,759541.19974,77475871.5962,1209698.37974,81049073.24,1064378.00619,75293714.2222,699518.266427,81211017.28,1063118.58262,75885849.9057,643151.237122
numal-levinson-durbin,1522458012.67,5280723.31732,1519471460.33,1757874.7322,1520001585.67,1257978.5418,1519962524.67,593689.970864,1417704864.67,5409860.10735,1408873960.33,433167.733039,1411999173.67,5074018.10506,1376076500.67,3289673.87126,1410411773.67,1478298.11977,1378646704.,6641586.93706
numal-lu-decomposition,860085832.,5055375.72132,859548883.4,5566606.65435,852970779.2,5823612.42969,850600528.4,7345908.29617,774607161.333,2095929.29242,772678960.833,10806993.7241,786381723.833,3094892.35307,632759385.286,5957227.79763,780227593.833,5612598.08251,623315436.286,11527924.0043
numal-naive-multilayer,2492437784.,2750693.46208,2493526096.5,1032570.3549,2508613879.67,12382475.5146,2512630393.67,9482332.36492,2298667784.5,2148581.43129,2365644171.,1465036.15516,2371283888.,343052.854893,2082000085.67,7100213.27279,2280157119.,1614000.92654,2059663026.,272138.530021
numal-qr-decomposition,1142730243.,338803.652303,1146177917.,247155.28157,1146520379.,2221670.25824,1145826113.5,1408256.2505,1170013433.25,517757.332013,1173477275.75,360454.849758,1173198513.5,307101.971495,1170920597.5,5066212.62719,1175098375.75,2546859.28121,1168268988.5,255533.396952
numal-rnd_access,5363977131.5,554296.056025,5312987329.67,5627485.16982,5316989421.,6941025.06547,5343983537.,1103995.91797,4049523087.57,119560663.885,4027918105.75,58852338.2777,4100536980.,4190880.99383,4169131280.,7208973.7865,4127179501.,1059179.49018,4094058494.5,671289.701399
numal-simple_access,2179461934.,2226798.0479,2210174710.33,2116423.36797,2241531986.25,23680139.7614,2179814268.,3606354.46851,2676759265.33,5455631.25976,2950877821.67,20277278.2456,3011532626.,230697.830003,3009009683.5,2245251.41356,3033965169.5,1147425.70937,3010247517.5,666720.377379
patdiff,,,,,,,,,221553256.842,4768329.84697,221117502.842,5239680.77007,,,,,,,,
