time_real,4.06.1+multicore+bench,
almabench,1686834328.6,30708175.3017
bdd,206446682.3,997175.936609
cpdf-merge,7519183098.,7870920.13269
cpdf-reformat,8655808049.,27889535.5212
cpdf-squeeze,13482377441.3,22397634.3695
cpdf-transform,2336336901.25,35175400.0633
jsontrip-sample,18143996.1357,289616.013837
kb,500519231.125,911079.258113
kb-no-exc,339432227.,2632345.00141
lexifi-g2pp,9844847238.5,3953440.37758
menhir-fancy,18360348.3991,106790.293364
menhir-sql,3946642422.67,19906424.6707
menhir-standard,14269201.4626,112763.312244
minilight,14900825262.,46449200.4729
numal-durand-kerner-aberth,82922605.8776,264108.72365
numal-fft,3538380462.33,7769572.85289
numal-k-means,221898665.895,798988.924021
numal-levinson-durbin,1486615967.33,3920503.86202
numal-lu-decomposition,867092946.2,2890621.80964
numal-naive-multilayer,2562902723.,14499344.802
numal-qr-decomposition,1161034716.25,1531054.0084
numal-rnd_access,5437976231.25,73754832.3825
numal-simple_access,8089073586.,2682635.8486
sequence,811324519.2,1052898.80603
sequence-cps,1147056366.,9170966.81637
setrip,973971958.,5850953.09137
setrip-smallbuf,978276070.4,13537145.8037

