time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1710545624.67,1609484.42601
bdd,212296256.684,1132171.13787
cpdf-merge,7684159404.,29649024.9319
cpdf-reformat,8797330021.,18545884.3386
cpdf-squeeze,13749320422.7,29071016.9388
cpdf-transform,2356442466.,16384555.6808
jsontrip-sample,19349394.4444,306311.302722
kb,525058785.125,2050874.59589
kb-no-exc,358819529.417,4181395.73875
lexifi-g2pp,9956315763.5,7037326.79759
menhir-fancy,19323841.0145,2510984.65212
menhir-sql,4099260718.67,19912871.8534
menhir-standard,14545648.9345,86550.9769646
minilight,15141426759.5,7690597.29688
numal-durand-kerner-aberth,87759937.5652,272884.611698
numal-fft,3784030580.33,7964102.67263
numal-k-means,236308065.706,3935776.45118
numal-levinson-durbin,1609071870.33,1544856.76931
numal-lu-decomposition,936887096.6,3429373.77183
numal-naive-multilayer,2768679949.,3794535.40816
numal-qr-decomposition,1308566521.,442727.377924
numal-rnd_access,5517414029.5,2453792.75969
numal-simple_access,8085308678.67,10425302.2561
sequence,845558605.,381962.509605
sequence-cps,1246332028.75,15276827.5428
setrip,994752661.2,11614908.2139
setrip-smallbuf,998985596.,14640978.0092

