time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1709750647.33,120147.771641
bdd,210826139.842,798092.592097
cpdf-merge,8026864838.33,50862619.5036
cpdf-reformat,9082773810.,36100839.2491
cpdf-squeeze,14125781189.7,43111266.8834
cpdf-transform,2515311789.67,2707901.23659
jsontrip-sample,19133937.3952,305957.321628
kb,543270667.5,2826669.00512
kb-no-exc,368505434.182,6663081.01158
lexifi-g2pp,9974868990.5,85149233.1374
menhir-fancy,18766646.1402,110672.919361
menhir-sql,4261090064.33,29266555.759
menhir-standard,14569572.9927,145454.186189
minilight,15328834313.7,79501345.821
numal-durand-kerner-aberth,87019402.6957,219351.822115
numal-fft,4500733288.,11666400.7572
numal-k-means,228192828.5,838467.523835
numal-levinson-durbin,1601087948.,6387810.3527
numal-lu-decomposition,933143825.6,20263354.8553
numal-naive-multilayer,2749101808.,7309809.89704
numal-qr-decomposition,1307765806.5,689272.478644
numal-rnd_access,5495342592.33,8740644.97429
numal-simple_access,8520545989.67,26534521.5285
sequence,836291340.,353933.146019
sequence-cps,1225423499.,22448375.4765
setrip,990539380.2,13188683.7146
setrip-smallbuf,992867908.2,12465395.8123

