time_real,4.06.1+trunk+bench,
almabench,1601473015.,3750201.49476
bdd,191666495.19,1699974.03458
cpdf-merge,4125664791.5,3392093.75984
cpdf-reformat,6524748664.5,1941437.32817
cpdf-squeeze,9381246818.33,17486803.7937
cpdf-transform,2138820192.,4811555.98972
frama-c-deflate,26504931280.7,198848561.612
frama-c-idct,180814875.,nan
jsontrip-sample,14545600.6764,565427.379437
kb,428858190.8,1993842.70202
kb-no-exc,293001839.786,2442720.18333
lexifi-g2pp,9686073771.,26489952.2088
menhir-fancy,10727467.5737,1292981.74682
menhir-sql,3132991080.33,15755074.0081
menhir-standard,7761819.04264,55120.5056479
minilight,12483701562.,29218002.6347
numal-durand-kerner-aberth,77015929.3654,251785.878573
numal-fft,2208729810.,597418.963075
numal-k-means,77496863.8077,878901.44688
numal-levinson-durbin,1409428392.,3447774.34043
numal-lu-decomposition,770138522.333,3200218.49731
numal-naive-multilayer,2364169514.,1064726.03577
numal-qr-decomposition,1173814990.25,858992.112083
numal-rnd_access,4009520176.,134276.74932
numal-simple_access,2977828109.75,34549069.0222
patdiff,218262281.526,4533216.13984
sauvola-contrast,1629387.,nan
sequence,844531820.2,925016.371214
sequence-cps,866994818.6,5417116.96715
setrip,890914047.,6876744.83691
setrip-smallbuf,888634133.2,9957053.00475

