time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1717341886.,14105246.6048
bdd,213527775.105,1181384.47385
cpdf-merge,7629561996.67,39766371.1886
cpdf-reformat,8759505871.,2153818.97122
cpdf-squeeze,13693408453.7,46040961.1026
cpdf-transform,2318333218.67,10299685.1207
jsontrip-sample,21656234.4054,465061.702404
kb,517864823.75,3073969.84368
kb-no-exc,345545743.75,1632435.32432
lexifi-g2pp,9952686721.33,41726857.2539
menhir-fancy,19486193.2913,2300744.49968
menhir-sql,4080446593.,3972409.93119
menhir-standard,14925381.6468,81618.4078744
minilight,16434158864.3,38711619.4551
numal-durand-kerner-aberth,86966177.8723,330371.917443
numal-fft,3716535807.67,27729325.4378
numal-k-means,232807393.556,2455407.92496
numal-levinson-durbin,1607647170.,8367925.41049
numal-lu-decomposition,924432986.2,1889308.46075
numal-naive-multilayer,2757232364.33,3948228.94567
numal-qr-decomposition,1308509469.5,1269532.49827
numal-rnd_access,6147711140.5,1265926.9064
numal-simple_access,8124520055.67,9900600.60924
sequence,836366994.,219025.205955
sequence-cps,1623475688.6,31461012.4191
setrip,1007650591.75,10494489.5571
setrip-smallbuf,997078326.6,3643718.56855

