time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1685582585.,29677561.2832,1708968009.6,39505651.5673,1668586097.67,772887.005315,1611065374.,19014356.7273,1599364902.,400727.070799
bdd,206039028.5,694866.907674,206115570.9,845552.844306,206536502.15,958739.234452,190751397.048,1334426.03388,191519117.619,1164159.39655
cpdf-merge,5391823318.,nan,5388021580.,nan,5368945130.,nan,3929011655.33,4372643.14454,4127067857.67,18783909.6545
cpdf-reformat,7579311041.,nan,7558154457.,nan,7576444011.,nan,6520455400.,2694322.90948,6579189952.75,55945820.6453
cpdf-squeeze,11526809396.7,21686182.7367,11519333869.7,16547401.1681,11556740672.,2792194.97328,9439977646.,8301266.73393,9403732433.,22666813.0018
cpdf-transform,2116773781.,10869270.5387,2104545464.33,7245886.374,2109288356.,5711669.69621,2177254657.33,12220670.8443,2136568033.5,1957344.40232
frama-c-deflate,,,,,,,,,26444117461.3,185698794.296
frama-c-idct,,,,,,,,,183376042.,nan
jsontrip-sample,17994913.6054,825673.139536,17848175.6356,350359.787711,17867316.6295,283657.090626,15351101.6322,319137.909523,14476341.1625,413733.000416
kb,460801496.667,3248379.14083,462301314.444,6625955.77578,459553907.222,798524.174801,423950441.4,4218710.92182,428654238.6,926703.85286
kb-no-exc,303555194.,nan,304090955.,nan,304577349.,nan,284078425.6,1704620.09008,296010000.929,8743473.75137
lexifi-g2pp,9825782379.5,1938535.36194,9949451999.17,228618022.976,9834937481.,8418056.6572,9779658739.4,163597841.272,9668906636.,3945470.57704
menhir-fancy,15753486.3425,2028971.30889,15157660.9394,1228297.5764,15048530.9699,168718.000259,10343391.5736,903994.924595,10556004.4195,287564.553833
menhir-list-errors,192980444119.,nan,193137775976.,nan,,,,,118669162132.,212937184.985
menhir-sql,3284015339.,nan,3284696218.,nan,3305068893.,nan,3086766895.67,25653486.0777,3147808615.25,25950144.668
menhir-standard,11899025.9257,4621754.7151,11429172.5686,328620.491034,11477118.9169,92759.9051938,7799253.57505,80079.2361016,8072211.42593,3909178.44917
menhir-sysver,52606295450.,nan,52334871733.,nan,,,,,45847160173.5,44086431.2568
minilight,14660739593.,34119189.4832,14674105441.,35326959.6445,14645574524.,1628434.39016,12543328391.,12566489.5832,12482284909.5,8095043.99094
numal-durand-kerner-aberth,82143301.8571,255903.129448,82197587.9184,269291.828076,82225682.1429,246940.999261,77618887.6538,291763.919717,76935060.7308,173514.199918
numal-fft,2347134045.25,21025167.2413,2352756338.75,20071981.9329,2356788833.67,15224874.5473,2215484507.,35061945.0729,2206498079.,12070373.8578
numal-k-means,89876421.3111,868271.886071,89986307.7778,849649.123952,89973741.3333,847996.406454,77849480.0577,759541.19974,77536850.1154,1047849.33525
numal-levinson-durbin,1521381525.,1822414.91466,1520062640.33,1858492.72275,1520001585.67,1257978.5418,1417704864.67,5409860.10735,1412979538.67,5362804.26343
numal-lu-decomposition,856294502.6,3330052.30012,856003122.8,3651294.2359,852970779.2,5823612.42969,774607161.333,2095929.29242,767591041.167,3467376.20217
numal-naive-multilayer,2505338586.33,3889227.38752,2508370534.67,12609081.0959,2508613879.67,12382475.5146,2298667784.5,2148581.43129,2367872598.33,5207113.39369
numal-qr-decomposition,1147340551.5,1190699.25675,1146053889.,620125.91355,1146520379.,2221670.25824,1170013433.25,517757.332013,1175408579.75,2561860.16692
numal-rnd_access,5317624592.33,6283179.0348,5310750334.5,172865.68769,5316989421.,6941025.06547,4049523087.57,119560663.885,4012442248.67,5947493.63815
numal-simple_access,2219392579.67,2017272.91146,2221493414.,6361619.75924,2241531986.25,23680139.7614,2676759265.33,5455631.25976,2957044017.5,88076.5135578
patdiff,,,,,,,221553256.842,4768329.84697,,
sauvola-contrast,,,,,,,,,1633392.,nan
sequence,819768391.4,801052.169236,821331389.4,847846.27005,820129881.6,1327453.19073,847796697.8,1536321.5233,844131187.2,637878.188331
sequence-cps,1141362687.25,16785791.0369,1134921981.75,8864862.24759,1130815763.75,4597735.35614,883181133.375,32134771.4337,874290111.,13584132.2056
setrip,973746950.4,16286710.9349,969101552.4,5617673.25916,970996682.4,8994283.61158,896590720.2,7494383.79119,892056113.6,4601693.2531
setrip-smallbuf,977919724.8,21550694.3708,971025201.2,9417883.01773,964956023.2,10352297.448,911634079.6,14961596.2729,903539098.4,13238362.4605

size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,792024.,0.,792024.,0.,792024.,0.,722528.,0.,722441.,0.
bdd,824677.,0.,824677.,0.,824677.,0.,748629.,0.,748542.,0.
cpdf-merge,5425968.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-reformat,5425968.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-squeeze,5425968.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-transform,5425968.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,14161081.,0.
jsontrip-sample,1656979.,0.,1656979.,0.,1656979.,0.,1406280.,0.,1406209.,0.
kb,863622.,0.,863622.,0.,863622.,0.,787718.,0.,787631.,0.
kb-no-exc,867613.,0.,867613.,0.,867613.,0.,791477.,0.,791390.,0.
