time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
cpdf-transform,3570789.,0.,3570136.,0.,3570136.,0.,3124170.,0.
jsontrip-sample,1288664.,0.,1288011.,0.,1288011.,0.,1061560.,0.
kb,668335.,0.,667682.,0.,667682.,0.,583570.,0.
kb-no-exc,671590.,0.,670937.,0.,670937.,0.,586625.,0.
lexifi-g2pp,769073.,0.,768420.,0.,768420.,0.,664514.,0.
menhir-fancy,2957797.,0.,2938139.,0.,2938139.,0.,2371292.,0.
menhir-list-errors,2957797.,0.,2938139.,0.,,,,
menhir-sql,2957797.,0.,2938139.,0.,2938139.,0.,2371292.,0.
menhir-standard,2957797.,0.,2938139.,0.,2938139.,0.,2371292.,0.
menhir-sysver,2957797.,0.,2938139.,0.,,,,
minilight,1262037.,0.,1261384.,0.,1261384.,0.,1014229.,0.
numal-durand-kerner-aberth,744606.,0.,743953.,0.,743953.,0.,634409.,0.
numal-fft,636842.,0.,636189.,0.,636189.,0.,553325.,0.
numal-k-means,11006648.,0.,11005995.,0.,11005995.,0.,7160195.,0.
numal-levinson-durbin,333631.,0.,332978.,0.,332978.,0.,283830.,0.
numal-lu-decomposition,1146114.,0.,1145461.,0.,1145461.,0.,891973.,0.
numal-naive-multilayer,874859.,0.,874206.,0.,874206.,0.,733420.,0.
numal-qr-decomposition,760004.,0.,759351.,0.,759351.,0.,652015.,0.
numal-rnd_access,406101.,0.,405448.,0.,405448.,0.,336426.,0.
numal-simple_access,331480.,0.,330827.,0.,330827.,0.,282055.,0.
patdiff,,,,,,,14145694.,0.
sequence,743427.,0.,742774.,0.,742774.,0.,643206.,0.
sequence-cps,594434.,0.,593781.,0.,593781.,0.,519461.,0.
setrip,1068938.,0.,1068285.,0.,1068285.,0.,882298.,0.
setrip-smallbuf,1068938.,0.,1068285.,0.,1068285.,0.,882298.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,185980.,0.,185956.,0.,185956.,0.,194356.,0.
bdd,186556.,0.,186532.,0.,186532.,0.,194196.,0.
cpdf-merge,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.
cpdf-reformat,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.
cpdf-squeeze,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.
cpdf-transform,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.
jsontrip-sample,368992.,0.,368968.,0.,368968.,0.,344720.,0.
kb,195964.,0.,195940.,0.,195940.,0.,204148.,0.
kb-no-exc,196700.,0.,196676.,0.,196676.,0.,204852.,0.
lexifi-g2pp,233340.,0.,233316.,0.,233316.,0.,237908.,0.
menhir-fancy,1039144.,0.,1033680.,0.,1033680.,0.,903312.,0.
menhir-list-errors,1039144.,0.,1033680.,0.,,,,
menhir-sql,1039144.,0.,1033680.,0.,1033680.,0.,903312.,0.
menhir-standard,1039144.,0.,1033680.,0.,1033680.,0.,903312.,0.
menhir-sysver,1039144.,0.,1033680.,0.,,,,
minilight,354560.,0.,354536.,0.,354536.,0.,323184.,0.
numal-durand-kerner-aberth,209692.,0.,209668.,0.,209668.,0.,210100.,0.
numal-fft,184956.,0.,184932.,0.,184932.,0.,192788.,0.
numal-k-means,2639420.,0.,2639396.,0.,2639396.,0.,1238612.,0.
numal-levinson-durbin,206588.,0.,206564.,0.,206564.,0.,219508.,0.
numal-lu-decomposition,383868.,0.,383844.,0.,383844.,0.,318900.,0.
numal-naive-multilayer,351140.,0.,351116.,0.,351116.,0.,341500.,0.
numal-qr-decomposition,266172.,0.,266148.,0.,266148.,0.,266804.,0.
numal-rnd_access,111964.,0.,111940.,0.,111940.,0.,121684.,0.
numal-simple_access,92668.,0.,92644.,0.,92644.,0.,105716.,0.
patdiff,,,,,,,4252888.,0.
sequence,211228.,0.,211204.,0.,211204.,0.,216244.,0.
sequence-cps,175068.,0.,175044.,0.,175044.,0.,184820.,0.
setrip,300320.,0.,300296.,0.,300296.,0.,285744.,0.
setrip-smallbuf,300320.,0.,300296.,0.,300296.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1499296.,0.,1499328.,0.,1499312.,0.,11689156.,0.
bdd,78092088.,0.,78092092.,0.,78092090.,0.,76776821.,0.
cpdf-merge,191149171.,nan,190387747.,nan,186168648.,nan,197536374.,0.
cpdf-reformat,444797318.,nan,444797447.,nan,444797388.,nan,448744298.,0.
cpdf-squeeze,386787388.,0.,386787517.,0.,386787458.,0.,403639849.,0.
cpdf-transform,55783231.,0.,55783392.,0.,55783336.,0.,55760133.,0.
jsontrip-sample,5117399.,0.,5117396.,0.,5117393.,0.,7160787.,0.
kb,90482164.,0.,91006978.,0.,90482693.,0.,90578338.,0.
kb-no-exc,37609470.,nan,37609474.,nan,37609474.,nan,37503345.,0.
lexifi-g2pp,1583340397.,0.,1583340401.,0.,1579408257.,0.,1678613139.,0.
menhir-fancy,1371606.,0.,1359673.,0.,1359670.,0.,2238238.,0.
menhir-list-errors,2358446940.,nan,2407885033.,nan,,,,
