time_real,4.06.1+multicore+bench,
almabench,1669774880.67,2890962.55144
bdd,207235948.15,2432381.09096
cpdf-merge,7533146935.,31776535.4362
cpdf-reformat,8664910235.5,1564809.6291
cpdf-squeeze,13501055835.5,11055848.5762
cpdf-transform,2310252676.67,14216282.3088
jsontrip-sample,18297791.863,302837.642062
kb,505785717.5,2413304.5891
kb-no-exc,340660823.25,3797015.60825
lexifi-g2pp,9850384532.5,1756980.03902
menhir-fancy,18513063.9124,654360.348832
menhir-sql,3950712295.33,29768094.5868
menhir-standard,14341952.0968,99379.4809437
minilight,14935373109.,6635282.14526
numal-durand-kerner-aberth,82892726.6122,222980.459773
numal-fft,3522221793.33,8190241.79267
numal-k-means,224847858.444,837781.3292
numal-levinson-durbin,1491137415.,9992231.10289
numal-lu-decomposition,871561113.833,19904909.9182
numal-naive-multilayer,2541602219.33,4771132.75326
numal-qr-decomposition,1160643273.25,1911271.91669
numal-rnd_access,5378585116.,1882639.278
numal-simple_access,7991092514.33,19650780.9219
sequence,805370925.2,551888.79298
sequence-cps,1162259261.8,26462741.1801
setrip,978778786.,6171849.02374
setrip-smallbuf,974742285.4,11349962.9773

