time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1666065324.67,13136416.4382,1685576088.6,33668689.0407,1668586097.67,772887.005315,1667824638.67,954002.948293,1611065374.,19014356.7273,1598374513.67,455832.618713,1601088232.33,3713568.27394,1605755879.67,5034475.76662,1602669575.33,492185.198706,1596446137.33,781406.614951
bdd,205075573.25,961147.61432,205913458.95,1260070.59201,206536502.15,958739.234452,204424701.35,1364827.44097,190751397.048,1334426.03388,192730584.857,5813367.9849,191546995.619,2045569.86224,210120581.75,1055562.90881,194179828.714,6172817.7441,211041563.,1316590.85592
cpdf-merge,5345102580.67,17778156.1726,5377113190.,nan,5368945130.,nan,5381555507.,nan,3929011655.33,4372643.14454,4110770420.33,6832784.42206,4045833660.67,19861701.1066,4143157262.25,69270648.0631,4254961537.33,23242892.5035,4107167164.,16118418.2162
cpdf-reformat,7470698229.,18597978.5746,7566063717.,nan,7576444011.,nan,7553518251.,nan,6520455400.,2694322.90948,6526150590.,5414265.9689,6537938136.5,457459.196555,6532472753.67,12059426.6807,6595013226.33,22998584.6456,6617090238.33,31754038.574
cpdf-squeeze,11393421895.,40357278.847,11574092279.7,30910892.1924,11556740672.,2792194.97328,11536656857.3,43687496.2415,9439977646.,8301266.73393,9378771015.,14636268.0001,9330993540.67,11282444.7908,9429284739.,47873805.3909,9222780613.,2683607.41332,9373964020.33,23280375.262
cpdf-transform,2099091194.5,1776251.52723,2121850015.25,19469103.067,2109288356.,5711669.69621,2117052157.33,3328163.31042,2177254657.33,12220670.8443,2136455776.33,8834698.13593,2137716440.,11122774.368,2136562384.67,7685726.79585,2142527854.,1376534.67043,2166701418.5,29771122.218
jsontrip-sample,17855424.8222,408588.964259,18081462.1982,533761.880555,17867316.6295,283657.090626,17742120.6327,340733.701231,15351101.6322,319137.909523,14563218.68,291151.12891,,,,,,,,
kb,450839986.333,2499414.9591,459987651.222,744112.487219,459553907.222,798524.174801,457793469.889,788313.151632,423950441.4,4218710.92182,433019724.7,7277404.6384,438432682.8,5300115.2473,418999159.7,2021175.76577,438910118.3,4277824.41772,428827577.9,1893778.24453
kb-no-exc,300387379.429,9983883.29755,305639538.,nan,304577349.,nan,295317873.,nan,284078425.6,1704620.09008,294558447.714,4012635.70488,291124838.929,3609415.07013,292093426.357,2398073.76991,291765074.429,1449191.59482,292439304.,1761506.96175
lexifi-g2pp,9785883787.,11592310.2553,9824465160.5,4396140.13429,9834937481.,8418056.6572,9862975621.5,9375241.01929,9779658739.4,163597841.272,9661195810.,6031219.20687,9630646114.5,1762424.76123,9541327873.,3226548.04154,9722657816.75,73564508.921,9582852203.5,741665.210903
